"sample","u"
"sample_1",-0.495245753484592
"sample_10",-0.241660856322382
"sample_100",0.727559379214762
"sample_1000",-0.818972917320694
"sample_1001",-0.444725696147536
"sample_1002",-0.27926615651793
"sample_1003",-0.317472051352671
"sample_1004",-0.504642998156992
"sample_1005",-0.191992573077346
"sample_1006",-0.121085579272288
"sample_1007",-0.261059736214703
"sample_1008",-0.429760594795887
"sample_1009",-0.502043489932665
"sample_101",-0.423682670744122
"sample_1010",-0.246011093370642
"sample_1011",-0.229822946024743
"sample_1012",-0.35401836183855
"sample_1013",-0.378403075004037
"sample_1014",0.116547888302093
"sample_1015",-0.338201029407235
"sample_1016",-0.241660856322382
"sample_1017",-0.476067517089123
"sample_1018",-0.603755264163442
"sample_1019",-0.330334227488465
"sample_102",-0.328288392742571
"sample_1020",-0.235476204968031
"sample_1021",-0.544500287586836
"sample_1022",-0.408563338391358
"sample_1023",-0.320475368499625
"sample_1024",-0.536912193684572
"sample_1025",-0.512095974860927
"sample_1026",0.0924917796783127
"sample_1027",-0.224280335027906
"sample_1028",-0.0573697301017646
"sample_1029",-0.539708251789831
"sample_103",-0.27926615651793
"sample_1030",-0.368420494624572
"sample_1031",-0.416990771702633
"sample_1032",-0.289705052118592
"sample_1033",-0.228746099180859
"sample_1034",-0.362497012342144
"sample_1035",-0.31138138295708
"sample_1036",-0.220931478339271
"sample_1037",-0.298907156735892
"sample_1038",-0.478432411210244
"sample_1039",-0.236269211909764
"sample_104",-0.168055315465947
"sample_1040",-0.170649641156975
"sample_1041",0.197410982025102
"sample_1042",-0.222768432090991
"sample_1043",-0.320951482117134
"sample_1044",-0.418347724736237
"sample_1045",-0.365313362054044
"sample_1046",-0.735261344254111
"sample_1047",-0.321871786066725
"sample_1048",-0.291739972761842
"sample_1049",-0.753537462714036
"sample_105",-0.27135172872967
"sample_1050",-0.228746099180859
"sample_1051",0.00175417449802803
"sample_1052",-0.416810751220419
"sample_1053",-0.508712588358507
"sample_1054",-0.329474459918471
"sample_1055",-0.317255526985263
"sample_1056",-0.347875131028836
"sample_1057",-0.229719253097273
"sample_1058",-0.678178016488675
"sample_1059",-0.37538850573234
"sample_106",-0.329170763801653
"sample_1060",-0.0894069588061951
"sample_1061",0.309237611035201
"sample_1062",-0.369933376040908
"sample_1063",-0.138682664090008
"sample_1064",-0.22361921331156
"sample_1065",-0.304671695680601
"sample_1066",-0.628973402894549
"sample_1067",-0.284903749430613
