sample,value,loc_BeiJ
sample_1,13.167,1
sample_10,14.667,1
sample_100,14.625,1
sample_1000,13.0,1
sample_1001,11.15,1
sample_1002,11.0,1
sample_1003,12.233,1
sample_1004,11.25,1
sample_1005,16.367,1
sample_1006,16.25,1
sample_1007,13.292,1
sample_1008,11.55,1
sample_1009,12.0,1
sample_101,12.0,1
sample_1010,13.167,1
sample_1011,10.95,1
sample_1012,18.542,1
sample_1013,13.417,1
sample_1014,13.667,1
sample_1015,11.625,1
sample_1016,10.375,1
sample_1017,14.0,1
sample_1018,12.167,1
sample_1019,11.65,1
sample_102,12.733,1
sample_1020,13.35,1
sample_1021,12.533,1
sample_1022,11.8,1
sample_1023,12.0,1
sample_1024,12.55,1
sample_1025,11.5,1
sample_1026,15.167,1
sample_1027,10.75,1
sample_1028,9.5,1
sample_1029,17.167,1
sample_103,13.267,1
sample_1030,15.833,1
sample_1031,14.875,1
sample_1032,13.792,1
sample_1033,12.2,1
sample_1034,13.25,1
sample_1035,12.208,1
sample_1036,14.292,1
sample_1037,13.167,1
sample_1038,15.083,1
sample_1039,12.875,1
sample_104,13.125,1
sample_1040,12.0,1
sample_1041,13.167,1
sample_1042,10.125,1
sample_1043,16.917,1
sample_1044,12.267,1
sample_1045,11.1,1
sample_1046,12.8,1
sample_1047,12.267,1
sample_1048,12.417,1
sample_1049,11.333,1
sample_105,14.125,1
sample_1050,12.125,1
sample_1051,11.125,1
sample_1052,14.833,1
sample_1053,13.125,1
sample_1054,10.2,1
sample_1055,11.5,1
sample_1056,13.125,1
sample_1057,11.75,1
sample_1058,12.417,1
sample_1059,10.65,1
sample_106,15.9,1
sample_1060,14.6,1
sample_1061,12.292,1
sample_1062,10.95,1
sample_1063,10.25,1
sample_1064,10.25,1
sample_1065,13.667,1
sample_1066,12.0,1
sample_1067,11.0,1
sample_1068,12.708,1
sample_1069,11.3,1
sample_107,12.5,1
sample_1070,12.292,1
sample_1071,13.708,1
sample_1072,12.833,1
sample_1073,11.542,1
sample_1074,12.233,1
sample_1075,12.85,1
sample_1076,12.417,1
sample_1077,12.35,1
sample_1078,12.0,1
sample_1079,10.625,1
sample_108,14.6,1
sample_1080,13.833,1
